Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,fold,actual_log,prediction_log,prediction_price,error_log,abs_error_log,error_price
633,20,RL,85.0,11900,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,5,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,209.0,TA,Gd,CBlock,TA,TA,No,ALQ,822,Unf,0,564,1386,GasA,TA,Y,SBrkr,1411,0,0,1411,0,0,2,0,3,1,TA,6,Typ,1,TA,Attchd,1977.0,Fin,2,544,TA,TA,Y,192,0,0,0,0,0,,,,0,4,2009,WD,Family,82500,2,11.320553572322773,12.06880668006603,174347.66860080318,0.7482531077432579,0.7482531077432579,91847.66860080318
31,70,C (all),50.0,8500,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,0,Unf,0,649,649,GasA,TA,N,SBrkr,649,668,0,1317,0,0,1,0,3,1,TA,6,Typ,0,,Detchd,1920.0,Unf,1,250,TA,Fa,N,0,54,172,0,0,0,,MnPrv,,0,7,2008,WD,Normal,40000,3,10.596634733096073,11.32172038206432,82596.31798513177,0.725085648968248,0.725085648968248,42596.31798513177
463,20,RL,60.0,8281,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,553,BLQ,311,0,864,GasA,Gd,Y,SBrkr,864,0,0,864,0,0,1,0,3,1,TA,5,Typ,1,Po,Detchd,1965.0,Unf,1,360,TA,TA,Y,0,0,236,0,0,0,,GdWo,,0,12,2009,WD,Normal,62383,4,11.041048081342682,11.732961129361195,124612.11719475573,0.6919130480185132,0.6919130480185132,62229.11719475573
1325,20,RL,75.0,9986,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,428.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1795,1795,GasA,Ex,Y,SBrkr,1795,0,0,1795,0,0,2,0,2,1,Gd,7,Typ,1,Gd,Attchd,2007.0,RFn,3,895,TA,TA,Y,0,49,0,0,0,0,,,,0,2,2007,New,Partial,147000,3,11.898187865760873,12.577320317436115,289908.4079543195,0.6791324516752422,0.6791324516752422,142908.4079543195
496,30,C (all),60.0,7879,Pave,,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,4,5,1920,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,495,Unf,0,225,720,GasA,TA,N,FuseA,720,0,0,720,0,0,1,0,2,1,TA,4,Typ,0,,,,,0,0,,,N,0,523,115,0,0,0,,GdWo,,0,11,2009,WD,Abnorml,34900,1,10.460242108190519,11.09559486380766,65880.3082872409,0.6353527556171414,0.6353527556171414,30980.3082872409
411,20,RL,68.0,9571,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,3,1958,1958,Gable,CompShg,BrkComm,Brk Cmn,None,0.0,TA,Fa,CBlock,TA,Fa,No,Unf,0,Unf,0,1276,1276,GasA,TA,Y,FuseA,1276,0,0,1276,0,0,1,0,3,1,TA,5,Mod,0,,Attchd,1958.0,Unf,1,350,TA,TA,Y,0,0,0,0,0,0,,,,0,6,2009,COD,Abnorml,60000,4,11.002099841204238,11.605559279319014,109705.99340992708,0.6034594381147755,0.6034594381147755,49705.993409927076
971,50,RL,60.0,10800,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1.5Fin,4,4,1949,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,720,720,GasA,TA,N,FuseA,720,472,0,1192,0,0,1,1,4,1,TA,6,Typ,0,,,,,0,0,,,Y,0,0,0,0,0,0,,,,0,12,2006,WD,Abnorml,135000,5,11.813030057420567,11.262635739958816,77857.51776889802,-0.5503943174617518,0.5503943174617518,-57142.48223110198
917,20,C (all),50.0,9000,Pave,,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,2,3,1949,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,TA,TA,CBlock,TA,TA,Av,BLQ,50,Unf,0,430,480,GasA,TA,N,FuseA,480,0,0,480,1,0,0,0,1,1,TA,4,Typ,0,,Detchd,1958.0,Unf,1,308,TA,TA,Y,0,0,0,0,0,0,,,,0,10,2006,WD,Abnorml,35311,3,10.47194980911048,10.987621103094286,59137.53448633191,0.5156712939838055,0.5156712939838055,23826.53448633191
813,20,C (all),66.0,8712,Grvl,,Reg,Bnk,AllPub,Inside,Mod,IDOTRR,Norm,Norm,1Fam,1Story,5,5,1952,1952,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,Fa,TA,CBlock,TA,TA,Av,Unf,0,Unf,0,540,540,GasA,TA,N,FuseA,1044,0,0,1044,0,0,1,0,2,1,Fa,4,Typ,0,,Basment,1952.0,Unf,2,504,TA,TA,N,0,0,0,0,0,0,,,Shed,54,6,2010,WD,Alloca,55993,5,10.932981961904135,11.39537651752105,88909.6991651545,0.4623945556169158,0.4623945556169158,32916.699165154496
875,50,RM,52.0,5720,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,5,6,1941,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,676,676,GasA,Ex,Y,SBrkr,676,455,0,1131,0,0,1,1,3,1,TA,5,Typ,0,,Detchd,1941.0,Unf,1,200,TA,TA,Y,26,0,0,0,0,0,,,,0,8,2009,WD,Abnorml,66500,4,11.104957226643945,11.560656105947086,104888.80897991375,0.45569887930314046,0.45569887930314046,38388.80897991375
