feature,importance_mean,importance_std,importance_min,importance_max,positive_repeat_fraction,positive_fold_fraction
OverallQual,0.023,0.002,0.021,0.025,1,1
GrLivArea,0.021,0.001,0.02,0.023,1,1
OverallCond,0.016,0.001,0.015,0.017,1,1
1stFlrSF,0.015,0.001,0.014,0.017,1,1
TotalBsmtSF,0.015,0.001,0.014,0.016,1,1
2ndFlrSF,0.012,0.002,0.01,0.014,1,1
LotArea,0.01,0.001,0.009,0.011,1,1
Neighborhood,0.009,0.001,0.008,0.01,1,1
BsmtFinSF1,0.008,0.001,0.007,0.009,1,1
YearBuilt,0.008,0.001,0.007,0.008,1,0.96
FullBath,0.005,0.001,0.004,0.007,1,1
GarageCars,0.00482,0.00107,0.00363,0.00597,1,1
YearRemodAdd,0.00367,0.00065,0.0032,0.00479,1,1
Fireplaces,0.00364,0.00108,0.00194,0.0045,1,1
TotRmsAbvGrd,0.00321,0.00089,0.00247,0.00451,1,0.96
GarageArea,0.00298,0.00038,0.00244,0.00339,1,0.92
HalfBath,0.00285,0.00062,0.00197,0.00366,1,1
SaleCondition,0.00243,0.0003,0.00193,0.00267,1,0.96
Condition1,0.00215,0.0008,0.00092,0.00271,1,0.96
KitchenAbvGr,0.00203,0.00025,0.00172,0.0024,1,0.96
ScreenPorch,0.00203,0.00051,0.00146,0.00271,1,0.96
BsmtExposure,0.00195,0.00045,0.00144,0.00242,1,0.92
MSZoning,0.00184,0.0003,0.00153,0.00224,1,0.8
Functional,0.00169,0.00024,0.0014,0.00197,1,1
Exterior1st,0.00165,0.00088,0.00031,0.00226,1,0.84
BsmtFinSF2,0.00163,0.00078,0.00074,0.0027,1,0.88
LotFrontage,0.00155,0.00019,0.00131,0.00175,1,0.96
MSSubClass,0.00152,0.00033,0.0012,0.00202,1,0.72
KitchenQual,0.00143,0.00051,0.0008,0.00216,1,0.84
BsmtFullBath,0.00124,0.00024,0.00106,0.00163,1,0.92
BsmtFinType1,0.00123,0.00045,0.00071,0.00169,1,0.88
Foundation,0.0012,0.00054,0.00051,0.00193,1,0.76
GarageFinish,0.0012,0.00019,0.00088,0.00134,1,0.84
BsmtUnfSF,0.00117,0.00031,0.00081,0.00151,1,0.8
Exterior2nd,0.00112,0.00044,0.00075,0.00181,1,0.88
PoolArea,0.001,0.00045,0.0005,0.00161,1,0.6
GarageCond,0.00097,0.00019,0.00077,0.00127,1,0.64
ExterQual,0.00094,0.00037,0.00049,0.00153,1,0.8
MasVnrArea,0.00092,0.0004,0.00054,0.00151,1,0.76
ExterCond,0.0009,0.00022,0.00074,0.00128,1,0.88
WoodDeckSF,0.00088,0.0005,0.00038,0.00168,1,0.68
CentralAir,0.00085,0.00013,0.00063,0.00095,1,0.64
PavedDrive,0.00079,0.00032,0.00032,0.00109,1,0.64
BedroomAbvGr,0.00076,0.00023,0.00048,0.00101,1,0.64
LotConfig,0.0007,0.00018,0.00042,0.00088,1,0.72
GarageType,0.0007,0.00032,0.00025,0.00108,1,0.72
FireplaceQu,0.00069,0.00039,0.00019,0.00104,1,0.68
LotShape,0.00052,0.00021,0.00027,0.00074,1,0.76
BsmtCond,0.0005,0.00017,0.00023,0.0007,1,0.84
MasVnrType,0.00048,0.00012,0.00035,0.00062,1,0.56
HouseStyle,0.00047,0.00032,-5e-05,0.0008,0.8,0.56
BsmtQual,0.00042,0.00027,6e-05,0.00078,1,0.56
BsmtHalfBath,0.00042,0.00032,1e-05,0.00088,1,0.76
Alley,0.00038,0.00022,0.00019,0.00072,1,0.52
RoofMatl,0.00035,8e-05,0.00023,0.00043,1,0.76
3SsnPorch,0.00034,0.00021,0.00014,0.00063,1,0.8
SaleType,0.00029,0.00032,-8e-05,0.0008,0.8,0.76
Electrical,0.00028,0.00014,5e-05,0.00045,1,0.6
BsmtFinType2,0.00016,0.00015,0.0,0.00034,1,0.72
Fence,0.00016,0.00013,-5e-05,0.00028,0.8,0.68
GarageYrBlt,0.00016,0.00021,-1e-05,0.00052,0.8,0.64
BldgType,0.00012,0.00031,-0.00019,0.00061,0.6,0.52
HeatingQC,0.00012,0.00027,-0.00015,0.00046,0.4,0.68
MiscVal,6e-05,0.00041,-0.00039,0.0007,0.4,0.52
Street,5e-05,7e-05,0.0,0.00017,1,0.44
OpenPorchSF,4e-05,0.00024,-0.00026,0.00027,0.6,0.48
LowQualFinSF,1e-05,0.00011,-0.00013,0.00016,0.4,0.44
PoolQC,0.0,2e-05,-2e-05,2e-05,0.4,0.32
GarageQual,-3e-05,0.00013,-0.00024,7e-05,0.6,0.48
Utilities,-3e-05,1e-05,-3e-05,-2e-05, -   , -   
LandSlope,-3e-05,9e-05,-0.00014,0.0001,0.4,0.4
EnclosedPorch,-3e-05,0.00019,-0.00023,0.0002,0.4,0.48
MiscFeature,-0.00012,7e-05,-0.00021,-4e-05, -   ,0.52
Heating,-0.00012,8e-05,-0.00025,-4e-05, -   ,0.24
LandContour,-0.00013,0.00013,-0.00031,-2e-05, -   ,0.52
Condition2,-0.00018,3e-05,-0.00021,-0.00014, -   ,0.08
YrSold,-0.00028,0.0003,-0.00071,8e-05,0.2,0.36
RoofStyle,-0.00045,0.00037,-0.00105,-0.00012, -   ,0.24
MoSold,-0.00051,0.00023,-0.00079,-0.00027, -   ,0.28
