Id  , MSSubClass, MSZoning, LotFrontage, LotArea, Street, Alley, LotShape, LandContour, Utilities, LotConfig, LandSlope, Neighborhood, Condition1, Condition2, BldgType, HouseStyle, OverallQual, OverallCond, YearBuilt, YearRemodAdd, RoofStyle, RoofMatl, Exterior1st, Exterior2nd, MasVnrType, MasVnrArea, ExterQual, ExterCond, Foundation, BsmtQual, BsmtCond, BsmtExposure, BsmtFinType1, BsmtFinSF1, BsmtFinType2, BsmtFinSF2, BsmtUnfSF, TotalBsmtSF, Heating, HeatingQC, CentralAir, Electrical, 1stFlrSF, 2ndFlrSF, LowQualFinSF, GrLivArea, BsmtFullBath, BsmtHalfBath, FullBath, HalfBath, BedroomAbvGr, KitchenAbvGr, KitchenQual, TotRmsAbvGrd, Functional, Fireplaces, FireplaceQu, GarageType, GarageYrBlt, GarageFinish, GarageCars, GarageArea, GarageQual, GarageCond, PavedDrive, WoodDeckSF, OpenPorchSF, EnclosedPorch, 3SsnPorch, ScreenPorch, PoolArea, PoolQC, Fence, MiscFeature, MiscVal, MoSold, YrSold, SaleType, SaleCondition, SalePrice, fold, actual_log        , prediction_log    , prediction_price   , error_log             , abs_error_log        , error_price
  31,         70, C (all) ,        50.0,    8500, Pave  , Pave , Reg     , Lvl        , AllPub   , Inside   , Gtl      , IDOTRR      , Feedr     , Norm      , 1Fam    , 2Story    ,           4,           4,      1920,         1950, Gambrel  , CompShg , BrkFace    , BrkFace    , None      ,        0.0, TA       , Fa       , BrkTil    , TA      , TA      , No          , Unf         ,          0, Unf         ,          0,       649,         649, GasA   , TA       , N         , SBrkr     ,      649,      668,            0,      1317,            0,            0,        1,        0,            3,            1, TA         ,            6, Typ       ,          0,            , Detchd    ,      1920.0, Unf         ,          1,        250, TA        , Fa        , N         ,          0,          54,           172,         0,           0,        0,       , MnPrv,            ,       0,      7,   2008, WD      , Normal       ,     40000,    3, 10.596634733096073, 11.410251382510998,  90242.10404043563 , 0.8136166494149251    , 0.8136166494149251   , 50242.10404043563
 633,         20, RL      ,        85.0,   11900, Pave  ,      , Reg     , Lvl        , AllPub   , Inside   , Gtl      , NWAmes      , Norm      , Norm      , 1Fam    , 1Story    ,           7,           5,      1977,         1977, Hip      , CompShg , Plywood    , Plywood    , BrkFace   ,      209.0, TA       , Gd       , CBlock    , TA      , TA      , No          , ALQ         ,        822, Unf         ,          0,       564,        1386, GasA   , TA       , Y         , SBrkr     ,     1411,        0,            0,      1411,            0,            0,        2,        0,            3,            1, TA         ,            6, Typ       ,          1, TA         , Attchd    ,      1977.0, Fin         ,          2,        544, TA        , TA        , Y         ,        192,           0,             0,         0,           0,        0,       ,      ,            ,       0,      4,   2009, WD      , Family       ,     82500,    2, 11.320553572322773, 12.062160222855855, 173192.716702641   , 0.7416066505330825    , 0.7416066505330825   , 90692.71670264099
1325,         20, RL      ,        75.0,    9986, Pave  ,      , Reg     , Lvl        , AllPub   , Inside   , Gtl      , Somerst     , Norm      , Norm      , 1Fam    , 1Story    ,           8,           5,      2006,         2007, Gable    , CompShg , VinylSd    , VinylSd    , BrkFace   ,      428.0, Gd       , TA       , PConc     , Ex      , TA      , Av          , Unf         ,          0, Unf         ,          0,      1795,        1795, GasA   , Ex       , Y         , SBrkr     ,     1795,        0,            0,      1795,            0,            0,        2,        0,            2,            1, Gd         ,            7, Typ       ,          1, Gd         , Attchd    ,      2007.0, RFn         ,          3,        895, TA        , TA        , Y         ,          0,          49,             0,         0,           0,        0,       ,      ,            ,       0,      2,   2007, New     , Partial      ,    147000,    3, 11.898187865760873, 12.571067440614799, 288101.30208304425 , 0.6728795748539262    , 0.6728795748539262   , 141101.30208304425
 463,         20, RL      ,        60.0,    8281, Pave  ,      , IR1     , Lvl        , AllPub   , Inside   , Gtl      , Sawyer      , Norm      , Norm      , 1Fam    , 1Story    ,           5,           5,      1965,         1965, Gable    , CompShg , MetalSd    , MetalSd    , None      ,        0.0, TA       , TA       , CBlock    , TA      , TA      , No          , Rec         ,        553, BLQ         ,        311,         0,         864, GasA   , Gd       , Y         , SBrkr     ,      864,        0,            0,       864,            0,            0,        1,        0,            3,            1, TA         ,            5, Typ       ,          1, Po         , Detchd    ,      1965.0, Unf         ,          1,        360, TA        , TA        , Y         ,          0,           0,           236,         0,           0,        0,       , GdWo ,            ,       0,     12,   2009, WD      , Normal       ,     62383,    4, 11.041048081342682, 11.705534245350451, 121240.83827792501 , 0.6644861640077693    , 0.6644861640077693   , 58857.83827792501
  89,         50, C (all) ,       105.0,    8470, Pave  ,      , IR1     , Lvl        , AllPub   , Corner   , Gtl      , IDOTRR      , Feedr     , Feedr     , 1Fam    , 1.5Fin    ,           3,           2,      1915,         1982, Hip      , CompShg , Plywood    , Plywood    , None      ,        0.0, Fa       , Fa       , CBlock    , TA      , Fa      , No          , Unf         ,          0, Unf         ,          0,      1013,        1013, GasA   , TA       , N         , SBrkr     ,     1013,        0,          513,      1526,            0,            0,        1,        0,            2,            1, Fa         ,            6, Typ       ,          0,            ,           ,            ,             ,          0,          0,           ,           , N         ,          0,           0,           156,         0,           0,        0,       , MnPrv,            ,       0,     10,   2009, ConLD   , Abnorml      ,     85000,    2, 11.350406535472453, 10.724712458161806,  45465.65379148224 , -0.6256940773106479   , 0.6256940773106479   , -39534.34620851776
 496,         30, C (all) ,        60.0,    7879, Pave  ,      , Reg     , Lvl        , AllPub   , Inside   , Gtl      , IDOTRR      , Norm      , Norm      , 1Fam    , 1Story    ,           4,           5,      1920,         1950, Gable    , CompShg , Wd Sdng    , Wd Sdng    , None      ,        0.0, TA       , TA       , CBlock    , TA      , TA      , No          , Rec         ,        495, Unf         ,          0,       225,         720, GasA   , TA       , N         , FuseA     ,      720,        0,            0,       720,            0,            0,        1,        0,            2,            1, TA         ,            4, Typ       ,          0,            ,           ,            ,             ,          0,          0,           ,           , N         ,          0,         523,           115,         0,           0,        0,       , GdWo ,            ,       0,     11,   2009, WD      , Abnorml      ,     34900,    1, 10.460242108190519, 11.0324926853326  ,  61851.56528942186 , 0.572250577142082     , 0.572250577142082    , 26951.56528942186
 971,         50, RL      ,        60.0,   10800, Pave  ,      , Reg     , Lvl        , AllPub   , Inside   , Gtl      , NAmes       , Norm      , Norm      , 1Fam    , 1.5Fin    ,           4,           4,      1949,         1950, Gable    , CompShg , AsbShng    , AsbShng    , None      ,        0.0, TA       , TA       , CBlock    , TA      , TA      , No          , Unf         ,          0, Unf         ,          0,       720,         720, GasA   , TA       , N         , FuseA     ,      720,      472,            0,      1192,            0,            0,        1,        1,            4,            1, TA         ,            6, Typ       ,          0,            ,           ,            ,             ,          0,          0,           ,           , Y         ,          0,           0,             0,         0,           0,        0,       ,      ,            ,       0,     12,   2006, WD      , Abnorml      ,    135000,    5, 11.813030057420567, 11.318500243716771,  82330.7741875626  , -0.4945298137037959   , 0.4945298137037959   , -52669.225812437406
 411,         20, RL      ,        68.0,    9571, Pave  ,      , Reg     , Lvl        , AllPub   , Inside   , Gtl      , Edwards     , Norm      , Norm      , 1Fam    , 1Story    ,           5,           3,      1958,         1958, Gable    , CompShg , BrkComm    , Brk Cmn    , None      ,        0.0, TA       , Fa       , CBlock    , TA      , Fa      , No          , Unf         ,          0, Unf         ,          0,      1276,        1276, GasA   , TA       , Y         , FuseA     ,     1276,        0,            0,      1276,            0,            0,        1,        0,            3,            1, TA         ,            5, Mod       ,          0,            , Attchd    ,      1958.0, Unf         ,          1,        350, TA        , TA        , Y         ,          0,           0,             0,         0,           0,        0,       ,      ,            ,       0,      6,   2009, COD     , Abnorml      ,     60000,    4, 11.002099841204238, 11.476122908076352,  96386.64253436196 , 0.47402306687211393   , 0.47402306687211393  , 36386.64253436196
1454,         20, RL      ,        90.0,   17217, Pave  ,      , Reg     , Lvl        , AllPub   , Inside   , Gtl      , Mitchel     , Norm      , Norm      , 1Fam    , 1Story    ,           5,           5,      2006,         2006, Gable    , CompShg , VinylSd    , VinylSd    , None      ,        0.0, TA       , TA       , PConc     , Gd      , TA      , No          , Unf         ,          0, Unf         ,          0,      1140,        1140, GasA   , Ex       , Y         , SBrkr     ,     1140,        0,            0,      1140,            0,            0,        1,        0,            3,            1, TA         ,            6, Typ       ,          0,            ,           ,            ,             ,          0,          0,           ,           , Y         ,         36,          56,             0,         0,           0,        0,       ,      ,            ,       0,      7,   2006, WD      , Abnorml      ,     84500,    2, 11.344506813345266, 11.811240988225487, 134758.69158175742 , 0.4667341748802212    , 0.4667341748802212   , 50258.69158175742
 917,         20, C (all) ,        50.0,    9000, Pave  ,      , Reg     , Lvl        , AllPub   , Inside   , Gtl      , IDOTRR      , Norm      , Norm      , 1Fam    , 1Story    ,           2,           3,      1949,         1950, Gable    , CompShg , AsbShng    , AsbShng    , None      ,        0.0, TA       , TA       , CBlock    , TA      , TA      , Av          , BLQ         ,         50, Unf         ,          0,       430,         480, GasA   , TA       , N         , FuseA     ,      480,        0,            0,       480,            1,            0,        0,        0,            1,            1, TA         ,            4, Typ       ,          0,            , Detchd    ,      1958.0, Unf         ,          1,        308, TA        , TA        , Y         ,          0,           0,             0,         0,           0,        0,       ,      ,            ,       0,     10,   2006, WD      , Abnorml      ,     35311,    3, 10.47194980911048 , 10.915280902472746,  55010.58512265623 , 0.44333109336226606   , 0.44333109336226606  , 19699.58512265623
 667,         60, RL      ,            ,   18450, Pave  ,      , IR1     , Lvl        , AllPub   , Inside   , Gtl      , NAmes       , Norm      , Norm      , 1Fam    , 2Story    ,           6,           5,      1965,         1979, Flat     , Tar&Grv , Plywood    , Plywood    , BrkCmn    ,      113.0, TA       , Gd       , CBlock    , Gd      , TA      , No          , LwQ         ,        187, Rec         ,        723,       111,        1021, GasA   , TA       , Y         , SBrkr     ,     1465,      915,            0,      2380,            0,            0,        2,        1,            3,            1, TA         ,            7, Sev       ,          1, Po         , CarPort   ,      1965.0, Unf         ,          2,        596, TA        , TA        , Y         ,          0,         265,             0,         0,           0,        0,       ,      ,            ,       0,      8,   2007, WD      , Abnorml      ,    129000,    4, 11.76756768334381 , 12.142713642976906, 187721.29021686246 , 0.3751459596330964    , 0.3751459596330964   , 58721.29021686246
 875,         50, RM      ,        52.0,    5720, Pave  ,      , Reg     , Lvl        , AllPub   , Inside   , Gtl      , OldTown     , Artery    , Norm      , 1Fam    , 1.5Fin    ,           5,           6,      1941,         1950, Gable    , CompShg , Wd Sdng    , Wd Sdng    , None      ,        0.0, TA       , TA       , CBlock    , TA      , TA      , No          , Unf         ,          0, Unf         ,          0,       676,         676, GasA   , Ex       , Y         , SBrkr     ,      676,      455,            0,      1131,            0,            0,        1,        1,            3,            1, TA         ,            5, Typ       ,          0,            , Detchd    ,      1941.0, Unf         ,          1,        200, TA        , TA        , Y         ,         26,           0,             0,         0,           0,        0,       ,      ,            ,       0,      8,   2009, WD      , Abnorml      ,     66500,    4, 11.104957226643945, 11.474248587157447,  96206.15223516825 , 0.3692913605135022    , 0.3692913605135022   , 29706.15223516825
 186,         75, RM      ,        90.0,   22950, Pave  ,      , IR2     , Lvl        , AllPub   , Inside   , Gtl      , OldTown     , Artery    , Norm      , 1Fam    , 2.5Fin    ,          10,           9,      1892,         1993, Gable    , WdShngl , Wd Sdng    , Wd Sdng    , None      ,        0.0, Gd       , Gd       , BrkTil    , TA      , TA      , Mn          , Unf         ,          0, Unf         ,          0,      1107,        1107, GasA   , Ex       , Y         , SBrkr     ,     1518,     1518,          572,      3608,            0,            0,        2,        1,            4,            1, Ex         ,           12, Typ       ,          2, TA         , Detchd    ,      1993.0, Unf         ,          3,        840, Ex        , TA        , Y         ,          0,         260,             0,         0,         410,        0,       , GdPrv,            ,       0,      6,   2006, WD      , Normal       ,    475000,    4, 13.071070083016778, 12.725759193338162, 336300.0994135906  , -0.34531088967861656  , 0.34531088967861656  , -138699.90058640938
 711,         30, RL      ,        56.0,    4130, Pave  ,      , IR1     , Lvl        , AllPub   , Inside   , Gtl      , BrkSide     , Norm      , Norm      , 1Fam    , 1Story    ,           3,           6,      1935,         2003, Gable    , CompShg , VinylSd    , VinylSd    , None      ,        0.0, Gd       , TA       , CBlock    , TA      , TA      , No          , Unf         ,          0, Unf         ,          0,       270,         270, GasA   , Gd       , Y         , SBrkr     ,      729,        0,            0,       729,            0,            0,        1,        0,            2,            1, TA         ,            5, Maj2      ,          0,            ,           ,            ,             ,          0,          0,           ,           , N         ,          0,           0,             0,         0,           0,        0,       ,      ,            ,       0,      7,   2008, WD      , Normal       ,     52000,    5, 10.858998997563564, 11.196453898786347,  72871.57314343205 , 0.33745490122278277   , 0.33745490122278277  , 20871.573143432048
