feature      , importance_mean, importance_std, importance_min, importance_max, positive_repeat_fraction, positive_fold_fraction
2ndFlrSF     , 0.035          , 0.003         , 0.031         , 0.038         , 1.00                    , 1.00
GrLivArea    , 0.030          , 0.001         , 0.029         , 0.032         , 1.00                    , 1.00
OverallQual  , 0.029          , 0.002         , 0.027         , 0.031         , 1.00                    , 1.00
1stFlrSF     , 0.022          , 0.002         , 0.020         , 0.024         , 1.00                    , 1.00
YearBuilt    , 0.019          , 0.001         , 0.018         , 0.020         , 1.00                    , 1.00
OverallCond  , 0.019          , 0.001         , 0.018         , 0.021         , 1.00                    , 1.00
TotalBsmtSF  , 0.017          , 0.001         , 0.016         , 0.018         , 1.00                    , 1.00
LotArea      , 0.014          , 0.001         , 0.013         , 0.015         , 1.00                    , 1.00
Neighborhood , 0.007          , 0.001         , 0.006         , 0.009         , 1.00                    , 1.00
MSZoning     , 0.007          , 0.001         , 0.006         , 0.008         , 1.00                    , 1.00
BsmtFinSF1   , 0.005          , 0.000         , 0.004         , 0.005         , 1.00                    , 1.00
GarageCars   , 0.004          , 0.001         , 0.004         , 0.005         , 1.00                    , 1.00
SaleCondition, 0.004          , 0.000         , 0.003         , 0.005         , 1.00                    , 1.00
Functional   , 0.004          , 0.000         , 0.003         , 0.004         , 1.00                    , 1.00
YearRemodAdd , 0.004          , 0.001         , 0.003         , 0.005         , 1.00                    , 1.00
Condition1   , 0.003          , 0.001         , 0.002         , 0.004         , 1.00                    , 1.00
BsmtExposure , 0.003          , 0.001         , 0.002         , 0.004         , 1.00                    , 1.00
KitchenQual  , 0.002          , 0.001         , 0.001         , 0.003         , 1.00                    , 1.00
CentralAir   , 0.002          , 0.001         , 0.001         , 0.003         , 1.00                    , 1.00
GarageArea   , 0.002          , 0.000         , 0.001         , 0.002         , 1.00                    , 1.00
Exterior1st  , 0.002          , 0.001         , 0.001         , 0.002         , 1.00                    , 0.80
MSSubClass   , 0.00136        , 0.00019       , 0.00105       , 0.00154       , 1.00                    , 0.80
